country,city,gender_ratio,macro_areas,share_pop_green,pct_open_space,built_up_area_percap,night_light_em,pm25_concentration,area,pop_density,gdp_per_pers,gender_equality_index,k_avg,grade_mean,orientation_order,prop_3way,straightness,bike_lane_area_prop,maxspeed_area_prop,latitudine,longitudine,macro_areas1
Italy,Taranto,0.016924327035430838,Italy,0.0301325458005,44.29,235.603640377,66.15685096,16.5668,56.0,2365.0104177678572,11688.75213561196,0.7070000000000001,2.987866531850353,0.0411610829103214,0.0948574476843228,0.7229524772497472,0.938092920014314,0.00972871200522338,0.07995431664672421,40.4870624207,17.2171455561,Europe
Italy,Rome,0.031974495293074,Italy,0.165457147315,50.53,108.133911706,45.434569634,16.9743,482.0,4860.7048944190865,19711.310140707294,0.7070000000000001,2.859056442333225,0.0449130874491754,0.0050491432582026,0.6724987460537574,0.938959977119708,0.039589850387913086,0.026502122725880223,41.8971539916,12.5323129794,Europe
Italy,Catania,0.03422061998347517,Italy,0.12243099955,49.37,123.007422831,26.252435325,14.9693,109.0,4116.190930844037,10575.719830887334,0.7070000000000001,2.7813151927437643,0.0550408948604226,0.0580687005382085,0.6764625850340136,0.9431999082432752,0.013662534456822938,0.008347449690238809,37.5344813077,15.071529610399999,Europe
Italy,Prato,0.037278566926144965,Italy,0.257165213274,45.38,164.64892644,36.213620925,22.553,71.0,3317.625842408451,19148.60293514699,0.7070000000000001,2.7851476793248944,0.0239455823536541,0.2016366397504778,0.7778902953586498,0.9388257568800924,0.20175186374102647,0.028904075187540762,43.8690437558,11.1069281125,Europe
Italy,Reggio Emilia,0.039592336504989535,Italy,0.305351304122,48.19,135.153911586,35.210710605,27.3903,24.0,4398.054829916667,17342.059376154975,0.7070000000000001,2.5963704630788484,0.0177551217160761,0.1574454999825877,0.7162077596996246,0.9413694975906032,0.5585130923682586,0.09688815270714457,44.6923274059,10.6262216698,Europe
Italy,Genoa,0.040644870200743456,Italy,0.287936815974,51.83,94.91638671959998,41.448074149,24.76965,107.0,5074.404503495327,19219.238550460075,0.7070000000000001,2.459358687546607,0.0716134020618556,0.0396242752295653,0.619935371613224,0.8503393769196845,0.02347711712699541,0.10147916558876577,44.4184187958,8.91725652168,Europe
Italy,Brescia,0.04133954496943098,Italy,0.153657851795,41.51,174.93292030599997,32.659753197,30.96695,57.0,3344.013631929825,19496.67599834642,0.7070000000000001,2.706466118778105,0.0258687979832703,0.155581404882262,0.6915800899364243,0.9479096924755004,0.12471493098972145,0.011691753158039976,45.547336028000004,10.2151626096,Europe
Italy,Bari,0.04213246826655125,Italy,0.0306352884377,45.21,141.270540276,58.461256385,17.5141,80.0,3877.9859680125,10027.777594030389,0.7070000000000001,2.8730981441230563,0.0243264664804469,0.0967352712597481,0.7112522989466644,0.9400947089543872,0.029293100108393724,0.008464211826642401,41.1068390771,16.8562509401,Europe
Spain,Madrid,0.042872969577693584,Other Europe,0.0232298633294,50.28,79.347779708,54.00707138600001,12.0058,781.0,6266.702435441741,26598.150963915385,0.795,3.006666558002314,0.0425541846017065,0.0132251690152046,0.7463774021613342,0.9512808858911714,0.1119228418267756,0.047313078469095216,40.4040466482,-3.70816628677,Europe
Italy,Bologna,0.044266180524630765,Italy,0.183885602452,57.97,95.7609417877,30.5736979,25.30665,96.0,4388.97871359375,18256.23922147596,0.7070000000000001,2.7482284887924804,0.0292810987160597,0.092880489140969,0.7110629067245119,0.9381397231325804,0.2867308890124809,0.2008820428418458,44.493707695,11.329003025799999,Europe
Italy,Modena,0.05047688245194557,Italy,0.21355412013,32.94,145.54471987600002,40.985472833,27.97315,31.0,4608.737109774193,17136.018726662467,0.7070000000000001,2.7388987566607463,0.021225897103329,0.1869086259975182,0.6740674955595026,0.951987664048617,0.14204727640879009,0.022138927529237663,44.6429748018,10.926605526,Europe
Italy,Palermo,0.052412267651120566,Italy,0.158466000622,46.22,120.797185523,30.859001816,15.39715,158.0,4452.7183071202535,13878.060641008662,0.7070000000000001,2.7833090732654053,0.0544572902865909,0.0739115971858997,0.6832605531295488,0.934054681110855,0.01842319946891577,0.0100732445761582,38.1362474884,13.3378680225,Europe
Portugal,Lisbon,0.052561379634813436,Other Europe,0.0975482891487,48.5,116.74378405200001,59.557013094,11.59775,444.0,4411.082825112613,24256.949043477474,0.7440000000000001,2.773937325473162,0.0605267624118234,0.0094219092726921,0.7345744130727065,0.9168234238362029,0.03718825076562298,0.013684120262166505,38.7419397891,-9.22688200993,Europe
Italy,Turin,0.05461381518896069,Italy,0.141595774899,40.29,102.53351540700001,51.674448336000005,24.2965,207.0,5823.115941111111,18845.315808294123,0.7070000000000001,3.0310872652674767,0.0292444467582951,0.1009895019226134,0.6284782494345379,0.9582542222981338,0.1178771316248608,0.07178553007477942,45.071255883999996,7.65076507734,Europe
Belgium,Charleroi,0.055322560566090924,Benelux,0.515177613498,68.61,331.24902945599996,22.458065698000002,14.18745,124.0,2045.8988595806447,13436.064938771387,0.75,2.813751087902524,0.0340192803381792,0.0041142998198667,0.742384682332463,0.9554092327052892,0.0906224344224376,0.010879385253732648,50.4276041033,4.44029611828,Europe
Italy,Parma,0.05733425727579829,Italy,0.225063578128,42.67,126.01707795600001,52.119886907,29.0504,30.0,4548.9528656,15749.772042805462,0.7070000000000001,2.772200772200772,0.0250134990357831,0.1524277939886059,0.7644787644787645,0.9443787550176692,0.2688455227003039,0.007657847825047644,44.7975432298,10.3320096291,Europe
Italy,Florence,0.058461701193015025,Italy,0.22862028653900002,50.09,107.87215819,46.248911072,20.97435,91.0,4626.58291610989,20423.42739275613,0.7070000000000001,2.891543369078322,0.0223911369824429,0.0808646918453107,0.7300122166417808,0.9429485067192808,0.15958383917100616,0.01012982384679581,43.783975499300006,11.2137571796,Europe
Italy,Trieste,0.06189894411765031,Italy,0.242118564996,44.34,148.309103643,42.398563643,21.9054,50.0,3752.59215672,19420.2185999606,0.7070000000000001,2.689403166869671,0.0681021286231884,0.0159112350521495,0.6769183922046285,0.914052076828534,0.036540961740306126,0.01175912032273989,45.634896993000005,13.7854164901,Europe
Belgium,Liege,0.06336854981293823,Benelux,0.500879543027,67.1,277.906064701,21.521788083,14.73125,158.0,2415.652834734177,14963.636314483216,0.75,2.7698578825603173,0.0399468618248349,0.0059111689402361,0.7493665307921119,0.9366759442626158,0.09361422616073144,0.07603053216662264,50.639099611099994,5.56222964362,Europe
Italy,Verona,0.06524458989133597,Italy,0.19815179709199998,47.39,152.65887133,44.98438704,31.6078,48.0,4181.7182935,14399.040404099058,0.7070000000000001,2.8369215540707744,0.0263902651779483,0.0187547408867622,0.6881959910913139,0.9546160107255308,0.08621201734156198,0.17675667183515525,45.4342786732,10.9884546981,Europe
Italy,Padua,0.06915874710420195,Italy,0.30442964683400003,44.4,219.78984641099998,36.677100629,31.25825,81.0,2684.549176728395,20599.294047552507,0.7070000000000001,2.5915015641293007,0.0172855849512121,0.0634080031421703,0.7026850886339937,0.9368220955854252,0.0580551191735551,0.03491147859277303,45.4112133799,11.9085744456,Europe
Belgium,Antwerp,0.08697808641917419,Benelux,0.41655233135700004,58.54,271.509394459,34.26069422,15.157,376.0,2106.4613561781907,23758.04672246523,0.75,2.820878757846052,0.013492762449056,0.0159574827145859,0.7051866534522628,0.9449689063563492,0.4038222694855647,0.3145561287841964,51.2163371341,4.39613910932,Europe
Luxembourg,Luxembourg city,0.09143693195423433,Benelux,0.526940433437,72.27,229.75623345099999,33.490975471,13.4166,42.0,2837.154272166666,45478.26858264699,0.725,2.7598672076724458,0.0329796845763165,0.0241937639349963,0.7104389524160827,0.9324757035157258,0.13983625360955942,0.5044880501060315,49.6143229313,6.12223011015,Europe
